s,x,y,theta,velocity
6.533100,-2.019000,-3.568100,-2.250500,3.459000
6.571300,-2.043100,-3.597800,-2.252200,3.492000
6.609500,-2.067200,-3.627400,-2.252900,3.525000
6.647700,-2.091300,-3.657100,-2.252700,3.557000
6.685900,-2.115300,-3.686800,-2.251500,3.589000
6.724100,-2.139300,-3.716500,-2.249400,3.621000
6.762300,-2.163300,-3.746200,-2.246300,3.652000
6.800500,-2.187100,-3.776000,-2.242200,3.684000
6.838700,-2.210800,-3.806000,-2.237200,3.715000
6.876800,-2.234300,-3.836100,-2.231300,3.745000
6.915000,-2.257600,-3.866300,-2.224400,3.776000
6.953200,-2.280700,-3.896700,-2.217400,3.806000
6.991300,-2.303600,-3.927200,-2.210700,3.836000
7.029500,-2.326300,-3.957900,-2.204500,3.866000
7.067700,-2.348800,-3.988800,-2.199000,3.895000
7.105900,-2.371200,-4.019700,-2.193900,3.925000
7.144100,-2.393400,-4.050800,-2.189400,3.918000
7.182300,-2.415500,-4.082000,-2.185400,3.869000
7.220500,-2.437500,-4.113200,-2.182000,3.819000
7.258700,-2.459300,-4.144500,-2.179100,3.769000
7.296900,-2.481100,-4.175900,-2.176800,3.718000
7.335200,-2.502900,-4.207400,-2.174600,3.666000
7.373400,-2.524500,-4.238800,-2.171800,3.614000
7.411600,-2.546100,-4.270400,-2.167900,3.560000
7.449800,-2.567500,-4.302000,-2.162800,3.506000
7.488000,-2.588700,-4.333800,-2.156500,3.451000
7.526200,-2.609700,-4.365700,-2.149000,3.396000
7.564400,-2.630500,-4.397800,-2.140400,3.339000
7.602600,-2.650900,-4.430000,-2.130600,3.281000
7.640800,-2.671000,-4.462500,-2.119700,3.222000
7.679000,-2.690800,-4.495200,-2.107600,3.163000
7.717200,-2.710100,-4.528100,-2.094400,3.102000
7.755400,-2.729000,-4.561400,-2.080300,3.039000
7.793600,-2.747400,-4.594900,-2.065500,2.976000
7.831900,-2.765300,-4.628700,-2.050000,2.914000
7.870100,-2.782700,-4.662700,-2.033900,2.854000
7.908400,-2.799500,-4.697100,-2.017200,2.798000
7.946600,-2.815700,-4.731700,-1.999700,2.744000
7.984800,-2.831300,-4.766600,-1.981600,2.693000
8.023100,-2.846200,-4.801800,-1.962800,2.645000
8.061300,-2.860500,-4.837300,-1.943400,2.600000
8.099600,-2.874100,-4.873100,-1.923200,2.562000
8.137800,-2.886900,-4.909100,-1.902600,2.533000
8.176100,-2.899000,-4.945400,-1.881500,2.510000
8.214400,-2.910300,-4.982000,-1.860000,2.488000
8.252600,-2.920800,-5.018800,-1.838200,2.465000
8.290900,-2.930500,-5.055800,-1.815900,2.442000
8.329200,-2.939400,-5.093000,-1.793200,2.419000
8.367400,-2.947400,-5.130500,-1.770100,2.396000
8.405700,-2.954500,-5.168100,-1.746600,2.373000
8.444000,-2.960800,-5.205800,-1.722600,2.352000
8.482200,-2.966100,-5.243700,-1.698200,2.341000
8.520500,-2.970500,-5.281700,-1.673700,2.343000
8.558800,-2.974000,-5.319900,-1.649300,2.353000
8.597100,-2.976500,-5.358100,-1.625200,2.363000
8.635400,-2.978100,-5.396300,-1.601300,2.372000
8.673700,-2.978900,-5.434600,-1.577600,2.380000
8.712000,-2.978700,-5.472900,-1.554000,2.387000
8.750200,-2.977600,-5.511200,-1.530500,2.392000
8.788400,-2.975600,-5.549400,-1.507200,2.397000
8.826700,-2.972700,-5.587500,-1.483900,2.411000
8.864800,-2.969000,-5.625500,-1.461200,2.458000
8.903000,-2.964400,-5.663400,-1.439700,2.504000
8.941200,-2.959000,-5.701200,-1.420100,2.549000
8.979400,-2.952900,-5.738900,-1.402300,2.594000
9.017600,-2.946200,-5.776500,-1.386400,2.638000
9.055800,-2.938900,-5.814000,-1.372300,2.681000
9.094000,-2.931100,-5.851400,-1.360100,2.723000
9.132300,-2.922900,-5.888800,-1.349700,2.765000
9.170600,-2.914300,-5.926100,-1.341100,2.806000
9.208900,-2.905400,-5.963400,-1.333600,2.782000
9.247200,-2.896300,-6.000600,-1.324900,2.712000
9.285500,-2.886800,-6.037700,-1.313600,2.641000
9.323800,-2.876800,-6.074700,-1.299700,2.567000
9.362100,-2.866300,-6.111400,-1.283000,2.492000
9.400300,-2.855100,-6.148000,-1.263600,2.414000
9.438400,-2.843200,-6.184300,-1.241500,2.334000
9.476600,-2.830400,-6.220200,-1.216600,2.250000
9.514700,-2.816700,-6.255800,-1.189000,2.164000
9.552900,-2.802000,-6.291000,-1.159600,2.129000
9.591100,-2.786200,-6.325800,-1.130100,2.143000
9.629300,-2.769400,-6.360100,-1.101400,2.176000
9.667600,-2.751600,-6.394000,-1.073600,2.210000
9.705900,-2.732900,-6.427400,-1.046500,2.244000
9.744200,-2.713300,-6.460300,-1.020300,2.279000
9.782500,-2.692800,-6.492700,-0.994900,2.313000
9.820900,-2.671500,-6.524600,-0.970100,2.347000
9.859200,-2.649500,-6.556000,-0.946100,2.375000
9.897600,-2.626700,-6.586800,-0.922500,2.389000
9.935900,-2.603200,-6.617100,-0.899100,2.387000
9.974200,-2.579000,-6.646800,-0.875500,2.379000
10.012500,-2.554100,-6.675900,-0.851700,2.370000
10.050800,-2.528500,-6.704400,-0.827700,2.360000
10.089000,-2.502300,-6.732300,-0.803600,2.350000
10.127300,-2.475400,-6.759500,-0.779200,2.339000
10.165500,-2.447900,-6.786100,-0.754600,2.328000
10.203700,-2.419700,-6.811900,-0.729800,2.317000
10.241900,-2.390900,-6.837000,-0.704800,2.317000
10.280100,-2.361500,-6.861400,-0.680000,2.338000
10.318300,-2.331500,-6.885100,-0.655900,2.376000
10.356600,-2.300900,-6.908000,-0.632600,2.420000
10.394800,-2.269900,-6.930300,-0.610200,2.467000
10.433000,-2.238300,-6.951800,-0.588600,2.513000
10.471300,-2.206200,-6.972700,-0.567900,2.558000
10.509600,-2.173700,-6.993000,-0.548000,2.603000
10.547900,-2.140900,-7.012600,-0.528900,2.646000
10.586200,-2.107600,-7.031700,-0.510700,2.690000
10.624600,-2.074000,-7.050100,-0.493200,2.732000
10.662900,-2.040100,-7.068000,-0.476000,2.774000
10.701200,-2.005800,-7.085200,-0.458500,2.742000
10.739600,-1.971300,-7.101900,-0.440300,2.687000
10.777800,-1.936500,-7.117900,-0.421400,2.635000
10.816100,-1.901400,-7.133200,-0.401700,2.584000
10.854400,-1.866100,-7.147800,-0.381300,2.535000
10.892600,-1.830400,-7.161700,-0.360000,2.489000
